TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Vehicle Collision or Pedestrian Struck (with Injury),2018,2,13,17.0,28.0,GRANDVIEW HWY / SKEENA ST,Renfrew-Collingwood,497923.0,5456152.0
Other Theft,2018,5,29,11.0,45.0,10XX SEYMOUR ST,Central Business District,491022.38,5458322.96
Other Theft,2018,6,8,16.0,18.0,10XX SEYMOUR ST,Central Business District,491022.38,5458322.96
Other Theft,2018,8,3,16.0,52.0,10XX SEYMOUR ST,Central Business District,491022.38,5458322.96
Offence Against a Person,2018,2,2,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,3,4,14.0,50.0,12XX HARWOOD ST,West End,490138.68,5458633.84
Break and Enter Residential/Other,2018,4,11,13.0,16.0,6XX CHILCO ST,West End,490024.44,5460159.1
Vehicle Collision or Pedestrian Struck (with Injury),2018,4,30,9.0,13.0,GRANDVIEW HWY N / LAKEWOOD DR,Kensington-Cedar Cottage,495484.0,5456433.0
Theft from Vehicle,2018,8,18,0.0,0.0,7XX ROBSON ST,Central Business District,491281.53,5458739.69
Theft of Bicycle,2018,8,16,20.0,0.0,48XX SLOCAN ST,Renfrew-Collingwood,496134.29,5454236.97
Theft from Vehicle,2018,4,21,13.0,0.0,7XX SALSBURY DR,Grandview-Woodland,495033.27,5458412.37
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,12,9.0,1.0,GRANDVIEW HWY S / NANAIMO ST,Kensington-Cedar Cottage,495878.0,5456116.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,11,16.0,28.0,GRANDVIEW HWY S / NANAIMO ST,Kensington-Cedar Cottage,495878.0,5456116.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,7,1.0,20.0,GRANDVIEW HWY S / NANAIMO ST,Kensington-Cedar Cottage,495878.0,5456116.0
Theft of Bicycle,2018,6,2,0.0,0.0,48XX ONTARIO ST,Riley Park,492336.28,5454243.72
Theft from Vehicle,2018,3,19,0.0,0.0,7XX SE MARINE DR,Sunset,493388.14,5450908.98
Vehicle Collision or Pedestrian Struck (with Injury),2018,6,19,14.0,31.0,GRANT ST / VICTORIA DR,Grandview-Woodland,495217.0,5457615.0
Offence Against a Person,2018,5,4,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Mischief,2018,6,7,19.0,35.0,MAIN ST / SWITCHMEN ST,Mount Pleasant,492679.42,5457578.21
Offence Against a Person,2018,5,30,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Break and Enter Residential/Other,2018,1,24,19.0,0.0,15XX POWELL ST,Grandview-Woodland,494635.21,5458946.14
Break and Enter Residential/Other,2018,1,25,5.0,45.0,15XX POWELL ST,Grandview-Woodland,494635.21,5458946.14
Theft from Vehicle,2018,4,20,10.0,14.0,BLENHEIM ST / W 22ND AVE,Dunbar-Southlands,487005.15,5455578.07
Break and Enter Residential/Other,2018,4,21,20.0,49.0,15XX POWELL ST,Grandview-Woodland,494635.21,5458946.14
Break and Enter Residential/Other,2018,7,5,4.0,0.0,15XX POWELL ST,Grandview-Woodland,494635.21,5458946.14
Break and Enter Residential/Other,2018,9,6,5.0,56.0,15XX POWELL ST,Grandview-Woodland,494635.21,5458946.14
Theft from Vehicle,2018,1,9,22.0,0.0,BLENHEIM ST / W 1ST AVE,Kitsilano,487079.19,5457618.24
Theft from Vehicle,2018,8,18,0.0,0.0,BLENHEIM ST / W 16TH AVE,Arbutus Ridge,487041.13,5456123.13
Theft from Vehicle,2018,6,12,20.0,0.0,7XX SEYMOUR ST,Central Business District,491385.68,5458702.64
Theft from Vehicle,2018,7,12,7.0,47.0,7XX SEYMOUR ST,Central Business District,491385.68,5458702.64
Theft from Vehicle,2018,8,24,16.0,0.0,BLENHEIM ST / W 14TH AVE,Kitsilano,487048.14,5456343.85
Theft from Vehicle,2018,11,2,8.0,30.0,7XX SEYMOUR ST,Central Business District,491385.68,5458702.64
Theft from Vehicle,2018,11,7,20.0,0.0,7XX SEYMOUR ST,Central Business District,491385.68,5458702.64
Theft from Vehicle,2018,3,25,20.0,30.0,BLENHEIM ST / W 11TH AVE,Kitsilano,487057.81,5456644.37
Break and Enter Commercial,2018,4,1,11.0,34.0,20XX BEACH AVE,West End,489487.46,5459675.36
Theft of Bicycle,2018,9,22,14.0,41.0,48XX JOYCE ST,Renfrew-Collingwood,497927.37,5454325.02
Vehicle Collision or Pedestrian Struck (with Injury),2018,2,3,14.0,16.0,E 7TH AVE / CLARK DR,Mount Pleasant,494362.0,5456833.0
Break and Enter Commercial,2018,2,23,19.0,47.0,12XX E 8TH AVE,Mount Pleasant,494273.48,5456738.12
Break and Enter Residential/Other,2018,10,13,15.0,12.0,6X W CORDOVA ST,Central Business District,492293.72,5458890.67
Break and Enter Residential/Other,2018,9,30,13.0,38.0,6X W 26TH AVE,Riley Park,492246.73,5455010.68
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,15,22.0,30.0,GRANVILLE ST / HELMCKEN ST,Central Business District,490936.0,5458390.0
Break and Enter Commercial,2018,3,2,21.0,29.0,12XX E 8TH AVE,Mount Pleasant,494273.48,5456738.12
Break and Enter Residential/Other,2018,11,18,11.0,29.0,6X SMITHE ST,Central Business District,491699.53,5458090.62
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,22,15.0,59.0,GRANVILLE ST / LAURIER AVE,Shaughnessy,489880.0,5455350.0
Break and Enter Residential/Other,2018,2,2,18.0,48.0,6X SMITHE ST,Central Business District,491637.66,5458137.91
Theft from Vehicle,2018,10,8,14.0,15.0,BLANCA ST / W 16TH AVE,West Point Grey,484327.64,5456215.67
Theft from Vehicle,2018,9,1,20.0,0.0,7XX SEYMOUR ST,Central Business District,491418.13,5458735.53
Vehicle Collision or Pedestrian Struck (with Injury),2018,5,5,18.0,6.0,GRANVILLE ST / MATTHEWS AVE,Shaughnessy,489889.0,5455607.0
Break and Enter Residential/Other,2018,10,11,13.0,0.0,6X E 23RD AVE,Riley Park,492460.62,5455239.48
Theft from Vehicle,2018,4,11,10.0,0.0,BLANCA ST / W 16TH AVE,West Point Grey,484327.64,5456215.67
Break and Enter Residential/Other,2018,1,19,12.0,30.0,6X E 16TH AVE,Mount Pleasant,492448.12,5455992.94
Break and Enter Residential/Other,2018,5,11,21.0,50.0,6X BOUNDARY RD,Hastings-Sunrise,498281.18,5459043.39
Break and Enter Residential/Other,2018,3,7,6.0,40.0,69XX WILTSHIRE ST,Kerrisdale,489310.57,5452244.67
Break and Enter Residential/Other,2018,4,14,11.0,0.0,3XX E 47TH AVE,Sunset,492773.81,5452757.06
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,22,7.0,19.0,GRANVILLE ST / PARK DR,Marpole,489788.0,5451629.0
Theft from Vehicle,2018,3,11,0.0,44.0,7XX SEYMOUR ST,Central Business District,491480.26,5458785.49
Break and Enter Commercial,2018,7,26,12.0,9.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Theft from Vehicle,2018,9,30,18.0,0.0,7XX SEYMOUR ST,Central Business District,491480.26,5458785.49
Break and Enter Commercial,2018,10,31,23.0,30.0,31XX HEATHER ST,Fairview,491254.33,5456035.55
Mischief,2018,9,22,23.0,0.0,MAIN ST / PRIOR ST,Central Business District,492731.47,5458227.74
Break and Enter Commercial,2018,6,23,8.0,59.0,31XX HEATHER ST,Fairview,491263.43,5456033.76
Mischief,2018,8,31,17.0,45.0,MAIN ST / PRIOR ST,Central Business District,492731.47,5458227.74
Mischief,2018,3,27,16.0,6.0,MAIN ST / POWELL ST,Strathcona,492759.25,5458942.47
Break and Enter Residential/Other,2018,8,6,23.0,40.0,3XX E 49TH AVE,Sunset,492895.14,5452533.91
Theft from Vehicle,2018,12,13,8.0,15.0,12XX HOMER ST,Central Business District,490988.86,5458010.64
Mischief,2018,6,9,2.0,38.0,MAIN ST / NATIONAL AVE,Central Business District,492726.49,5458024.67
Theft from Vehicle,2018,6,7,11.0,0.0,10XX BURRARD ST,West End,490729.63,5458622.14
Theft from Vehicle,2018,2,14,6.0,0.0,12XX HOMER ST,Central Business District,491002.12,5458023.94
Mischief,2018,10,6,17.0,38.0,MACKENZIE ST / W BROADWAY AVE,Kitsilano,487626.33,5456828.4
Other Theft,2018,1,4,17.0,12.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,1,5,12.0,22.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,1,10,13.0,48.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,1,17,12.0,35.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,3,6,9.0,45.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,4,5,11.0,55.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,8,2.0,24.0,GRANVILLE ST / W 12TH AVE,Fairview,489908.0,5456457.0
Other Theft,2018,4,24,8.0,23.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Theft from Vehicle,2018,9,13,18.0,0.0,BIRCH ST / W 8TH AVE,Fairview,490273.32,5456859.83
Other Theft,2018,6,4,12.0,13.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,6,11,11.0,15.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,6,19,15.0,15.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,6,25,13.0,56.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,8,11,12.0,25.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,8,16,10.0,0.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,8,21,13.0,12.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,9,13,9.0,38.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,9,19,17.0,32.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Theft from Vehicle,2018,11,9,16.0,0.0,BIRCH ST / W 7TH AVE,Fairview,490275.78,5456953.66
Other Theft,2018,10,23,14.0,23.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Other Theft,2018,12,17,16.0,1.0,10XX W GEORGIA ST,Central Business District,491115.45,5459163.48
Vehicle Collision or Pedestrian Struck (with Injury),2018,4,25,10.0,56.0,GRANVILLE ST / W 16TH AVE,Shaughnessy,489900.0,5456041.0
Theft from Vehicle,2018,10,16,21.0,0.0,7XX SEYMOUR ST,Central Business District,491480.26,5458785.49
Break and Enter Commercial,2018,9,7,3.0,13.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Vehicle Collision or Pedestrian Struck (with Injury),2018,1,24,20.0,53.0,GRANVILLE ST / W 33RD AVE,Shaughnessy,489859.0,5454355.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,5,14,14.0,15.0,GRANVILLE ST / W 33RD AVE,Shaughnessy,489859.0,5454355.0
Theft from Vehicle,2018,3,12,23.0,0.0,BIRCH ST / W 14TH AVE,Fairview,490256.49,5456238.46
Theft from Vehicle,2018,1,28,19.0,0.0,BIRCH ST / W 14TH AVE,Fairview,490256.49,5456238.46
Theft from Vehicle,2018,1,28,16.0,0.0,BIRCH ST / W 14TH AVE,Fairview,490256.49,5456238.46
Break and Enter Residential/Other,2018,11,6,8.0,23.0,3XX E 55TH AVE,Sunset,492770.84,5451923.42
Theft from Vehicle,2018,7,3,17.0,30.0,7XX SMITHE ST,Central Business District,491166.62,5458623.85
Theft of Bicycle,2018,5,11,10.0,15.0,48XX CAMBIE ST,Riley Park,491398.1,5454383.38
Break and Enter Commercial,2018,6,10,0.0,5.0,13XX BUTE ST,West End,490082.54,5458576.37
Theft from Vehicle,2018,12,15,23.0,30.0,BIRCH ST / W 13TH AVE,Fairview,490259.37,5456339.99
Theft from Vehicle,2018,9,22,18.0,0.0,BIRCH ST / W 13TH AVE,Fairview,490259.37,5456339.99
Theft from Vehicle,2018,7,17,22.0,30.0,BIRCH ST / W 13TH AVE,Fairview,490259.37,5456339.99
Theft from Vehicle,2018,6,14,16.0,30.0,BIRCH ST / W 13TH AVE,Fairview,490259.37,5456339.99
Theft of Bicycle,2018,1,15,11.0,32.0,47XX W 4TH AVE,West Point Grey,484329.97,5457390.12
Mischief,2018,3,11,22.0,12.0,MACKENZIE ST / W 41ST AVE,Arbutus Ridge,487605.86,5453562.88
Mischief,2018,7,3,14.0,30.0,MACKENZIE ST / W 37TH AVE,Arbutus Ridge,487606.74,5453986.76
Vehicle Collision or Pedestrian Struck (with Injury),2018,9,27,15.0,15.0,GRANVILLE ST / W 41ST AVE,Kerrisdale,489835.0,5453516.0
Theft from Vehicle,2018,5,4,20.0,40.0,BIRCH ST / W 13TH AVE,Fairview,490259.37,5456339.99
Vehicle Collision or Pedestrian Struck (with Injury),2018,5,1,13.0,20.0,GRANVILLE ST / W 47TH AVE,Kerrisdale,489826.0,5452897.0
Theft from Vehicle,2018,4,8,9.0,0.0,7XX TERMINAL AVE,Strathcona,493487.29,5457574.85
Break and Enter Residential/Other,2018,4,23,5.0,5.0,69XX MONTGOMERY ST,Oakridge,490379.52,5452203.38
Theft from Vehicle,2018,8,13,22.0,0.0,BIRCH ST / W 12TH AVE,Fairview,490262.63,5456447.89
Theft of Bicycle,2018,8,29,20.0,0.0,47XX LANARK ST,Kensington-Cedar Cottage,494546.95,5454418.62
Break and Enter Commercial,2018,3,23,1.0,50.0,16XX W 8TH AVE,Fairview,489702.01,5456871.43
Theft from Vehicle,2018,1,11,15.0,30.0,7XX TERMINAL AVE,Strathcona,493576.72,5457550.99
Vehicle Collision or Pedestrian Struck (with Injury),2018,3,3,21.0,45.0,GRANVILLE ST / W 49TH AVE,Kerrisdale,489820.0,5452696.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,4,1,10.0,41.0,GRANVILLE ST / W 49TH AVE,Kerrisdale,489820.0,5452696.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,3,10.0,8.0,GRANVILLE ST / W 49TH AVE,Kerrisdale,489820.0,5452696.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,8,10.0,52.0,GRANVILLE ST / W 49TH AVE,Kerrisdale,489820.0,5452696.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,30,12.0,57.0,GRANVILLE ST / W 49TH AVE,Kerrisdale,489820.0,5452696.0
Theft from Vehicle,2018,5,2,19.0,30.0,BIRCH ST / W 10TH AVE,Fairview,490268.45,5456652.14
Theft from Vehicle,2018,6,23,0.0,0.0,7XX TERMINAL AVE,Strathcona,493576.72,5457550.99
Theft from Vehicle,2018,11,17,14.0,45.0,7XX TERMINAL AVE,Strathcona,493576.72,5457550.99
Theft from Vehicle,2018,1,17,20.0,0.0,7XX TERMINAL AVE,Strathcona,493650.59,5457558.72
Theft from Vehicle,2018,4,19,17.0,15.0,7XX TERMINAL AVE,Strathcona,493650.59,5457558.72
Theft from Vehicle,2018,12,19,13.0,50.0,BIDWELL ST / ROBSON ST,West End,490264.78,5459755.15
Break and Enter Commercial,2018,9,10,2.0,0.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Theft from Vehicle,2018,12,11,23.0,0.0,BIDWELL ST / ROBSON ST,West End,490264.78,5459755.15
Theft from Vehicle,2018,7,17,4.0,50.0,BIDWELL ST / ROBSON ST,West End,490264.78,5459755.15
Theft from Vehicle,2018,7,8,22.0,0.0,7XX THURLOW ST,West End,490937.95,5459112.71
Theft from Vehicle,2018,10,9,20.0,13.0,7XX THURLOW ST,West End,490951.89,5459139.63
Theft from Vehicle,2018,2,25,17.0,9.0,7XX THURLOW ST,West End,490965.79,5459140.61
Theft from Vehicle,2018,1,27,20.0,0.0,BIDWELL ST / ROBSON ST,West End,490264.78,5459755.15
Theft from Vehicle,2018,2,27,19.0,0.0,12XX HOMER ST,Central Business District,491004.47,5458039.27
Theft from Vehicle,2018,5,29,0.0,1.0,12XX HOMER ST,Central Business District,491004.47,5458039.27
Break and Enter Residential/Other,2018,4,10,21.0,20.0,69XX LAUREL ST,Oakridge,490871.31,5452213.61
Break and Enter Residential/Other,2018,9,20,16.0,30.0,69XX LAUREL ST,Oakridge,490868.4,5452119.69
Theft from Vehicle,2018,1,11,6.0,15.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,2,25,9.0,57.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,4,14,14.0,0.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,4,14,14.0,20.0,7XX THURLOW ST,West End,490968.93,5459156.71
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,4,18.0,30.0,GRANVILLE ST / W 63RD AVE,Marpole,489778.0,5451254.0
Theft from Vehicle,2018,4,29,12.0,59.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,5,1,0.0,0.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,5,1,16.0,25.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,9,21,21.0,30.0,BIDWELL ST / PENDRELL ST,West End,489878.85,5459362.32
Theft from Vehicle,2018,7,13,19.0,30.0,BIDWELL ST / PENDRELL ST,West End,489878.85,5459362.32
Theft from Vehicle,2018,5,20,10.0,0.0,7XX THURLOW ST,West End,490968.93,5459156.71
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,13,19.0,53.0,GRANVILLE ST / W 68TH AVE,Marpole,489769.0,5450867.0
Theft from Vehicle,2018,5,25,19.0,15.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,6,8,15.0,40.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,6,16,6.0,44.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,9,1,10.0,40.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,10,21,18.0,30.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,11,17,9.0,30.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,12,12,8.0,30.0,7XX THURLOW ST,West End,490968.93,5459156.71
Theft from Vehicle,2018,12,13,11.0,30.0,7XX THURLOW ST,West End,490968.93,5459156.71
Vehicle Collision or Pedestrian Struck (with Injury),2018,11,26,21.0,55.0,GRANVILLE ST / W 70TH AVE,Marpole,489763.0,5450647.0
Theft from Vehicle,2018,12,18,13.0,30.0,7XX THURLOW ST,West End,490968.93,5459156.71
Break and Enter Commercial,2018,10,5,3.0,50.0,1XX W 2ND AVE,Mount Pleasant,492052.13,5457398.78
Break and Enter Commercial,2018,9,21,7.0,40.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Break and Enter Residential/Other,2018,11,18,9.0,0.0,69XX HUDSON ST,Oakridge,490157.96,5452239.71
Break and Enter Commercial,2018,12,10,20.0,0.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Break and Enter Commercial,2018,12,23,12.0,0.0,12XX E BROADWAY AVE,Mount Pleasant,494294.57,5456624.6
Theft from Vehicle,2018,3,4,13.0,30.0,7XX THURLOW ST,West End,491047.4,5459221.9
Theft from Vehicle,2018,8,16,18.0,0.0,7XX THURLOW ST,West End,491047.4,5459221.9
Theft from Vehicle,2018,12,16,17.0,30.0,7XX THURLOW ST,West End,491047.4,5459221.9
Vehicle Collision or Pedestrian Struck (with Injury),2018,8,1,11.0,16.0,GRANVILLE ST / W 7TH AVE,Fairview,489923.0,5456962.0
Vehicle Collision or Pedestrian Struck (with Injury),2018,12,19,18.0,15.0,GRANVILLE ST / W 7TH AVE,Fairview,489923.0,5456962.0
Theft from Vehicle,2018,2,6,16.0,0.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Theft from Vehicle,2018,2,12,7.0,23.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Theft from Vehicle,2018,2,14,17.0,0.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Theft from Vehicle,2018,8,30,14.0,30.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Theft from Vehicle,2018,8,30,18.0,0.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Theft from Vehicle,2018,11,10,17.0,0.0,7XX UNION ST,Strathcona,493479.99,5458301.99
Other Theft,2018,4,18,7.0,50.0,10XX W GEORGIA ST,West End,491165.71,5459100.83
Theft from Vehicle,2018,1,20,17.0,0.0,7XX UNION ST,Strathcona,493480.17,5458311.13
Break and Enter Residential/Other,2018,5,3,23.0,0.0,69XX FLEMING ST,Victoria-Fraserview,494666.61,5452076.64
Theft of Bicycle,2018,12,19,15.0,50.0,46XX W 3RD AVE,West Point Grey,484458.02,5457516.28
Break and Enter Residential/Other,2018,2,10,1.0,25.0,69XX ELLIOTT ST,Victoria-Fraserview,496002.03,5452041.48
Theft from Vehicle,2018,12,11,19.0,0.0,7XX UNION ST,Strathcona,493556.88,5458309.6
Theft from Vehicle,2018,8,29,21.0,0.0,7XX UNION ST,Strathcona,493584.28,5458309.05
Theft from Vehicle,2018,6,19,23.0,0.0,7XX VICTORIA DR,Grandview-Woodland,495232.67,5458328.09
Theft from Vehicle,2018,10,25,20.0,0.0,BIDWELL ST / COMOX ST,West End,489955.8,5459440.08
Theft from Vehicle,2018,6,18,18.0,30.0,7XX W 13TH AVE,Fairview,491175.61,5456311.18
Theft from Vehicle,2018,2,12,17.0,0.0,7XX W 13TH AVE,Fairview,491217.45,5456310.28
Theft from Vehicle,2018,5,29,7.0,33.0,12XX HOMER ST,Central Business District,491004.47,5458039.27
Theft from Vehicle,2018,9,7,19.0,0.0,7XX W 14TH AVE,Fairview,491259.56,5456207.31
Theft from Vehicle,2018,12,7,18.0,0.0,7XX W 15TH AVE,Fairview,491135.26,5456109.54
Theft from Vehicle,2018,12,24,0.0,0.0,7XX W 15TH AVE,Fairview,491135.26,5456109.54
Theft from Vehicle,2018,8,27,20.0,30.0,BERKELEY ST / E 51ST AVE,Victoria-Fraserview,495796.19,5452195.29
Break and Enter Residential/Other,2018,5,4,23.0,0.0,69XX BUTLER ST,Killarney,497541.65,5451972.19
Theft from Vehicle,2018,2,21,21.0,0.0,7XX W 16TH AVE,Fairview,491136.66,5456040.08
Theft from Vehicle,2018,5,24,14.0,0.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Other Theft,2018,5,30,8.0,38.0,10XX W PENDER ST,Central Business District,491332.3,5459374.75
Theft from Vehicle,2018,7,17,0.0,0.0,7XX W 17TH AVE,South Cambie,491221.01,5455930.17
Break and Enter Commercial,2018,1,30,9.0,57.0,19XX HARO ST,West End,489868.61,5459986.56
Theft from Vehicle,2018,10,19,9.0,0.0,BEATTY ST / W PENDER ST,Central Business District,492111.79,5458724.17
Theft from Vehicle,2018,10,18,20.0,0.0,7XX W 20TH AVE,South Cambie,491247.52,5455628.15
Theft from Vehicle,2018,2,4,12.0,0.0,7XX W 23RD AVE,South Cambie,491176.03,5455328.02
Break and Enter Residential/Other,2018,9,3,15.0,0.0,68XX YEW ST,Kerrisdale,488425.82,5452347.09
Theft from Vehicle,2018,6,28,19.0,25.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Theft from Vehicle,2018,2,28,19.0,30.0,BEATTY ST / W PENDER ST,Central Business District,492111.79,5458724.17
Theft from Vehicle,2018,7,29,1.0,14.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Break and Enter Residential/Other,2018,10,5,23.0,28.0,68XX WILTSHIRE ST,Kerrisdale,489320.31,5452267.03
Offence Against a Person,2018,1,17,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
Theft from Vehicle,2018,9,5,4.0,0.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Theft from Vehicle,2018,3,18,18.0,0.0,7XX W 24TH AVE,South Cambie,491163.73,5455261.57
Break and Enter Residential/Other,2018,2,5,22.0,34.0,68XX WILTSHIRE ST,Kerrisdale,489311.1,5452264.76
Theft from Vehicle,2018,6,7,21.0,30.0,7XX W 24TH AVE,South Cambie,491236.64,5455259.47
Theft of Bicycle,2018,7,12,18.0,0.0,46XX FLEMING ST,Kensington-Cedar Cottage,494753.34,5454511.79
Theft from Vehicle,2018,9,2,0.0,0.0,7XX W 24TH AVE,South Cambie,491236.64,5455259.47
Theft from Vehicle,2018,10,17,7.0,5.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Theft from Vehicle,2018,10,30,21.0,0.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Break and Enter Residential/Other,2018,4,13,18.0,0.0,68XX VICTORIA DR,Victoria-Fraserview,495201.05,5452164.14
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,9,15.0,10.0,HARO ST / THURLOW ST,West End,490842.0,5459023.0
Break and Enter Residential/Other,2018,10,11,18.0,15.0,68XX SELKIRK ST,Oakridge,490280.69,5452331.38
Theft from Vehicle,2018,12,4,23.0,0.0,7XX W 41ST AVE,Oakridge,491115.27,5453437.95
Break and Enter Residential/Other,2018,2,8,11.0,9.0,68XX OAK ST,Oakridge,490651.02,5452309.27
Break and Enter Residential/Other,2018,3,3,21.0,15.0,68XX MARGUERITE ST,Kerrisdale,489427.12,5452297.61
Theft from Vehicle,2018,12,31,2.0,0.0,7XX W 50TH AVE,Oakridge,491167.39,5452523.06
Theft from Vehicle,2018,12,31,15.0,0.0,7XX W 50TH AVE,Oakridge,491167.39,5452523.06
Theft from Vehicle,2018,11,2,10.0,0.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Theft from Vehicle,2018,12,21,21.0,30.0,12XX HOMER ST,Central Business District,491033.04,5458054.99
Other Theft,2018,5,13,14.0,16.0,11XX ALBERNI ST,West End,490952.63,5459240.75
Vehicle Collision or Pedestrian Struck (with Injury),2018,7,23,17.0,17.0,HEATHER ST / W 22ND AVE,South Cambie,491251.0,5455430.0
Other Theft,2018,5,13,16.0,50.0,11XX ALBERNI ST,West End,490952.63,5459240.75
Other Theft,2018,6,9,16.0,0.0,11XX ALBERNI ST,West End,490952.63,5459240.75
Theft from Vehicle,2018,1,8,20.0,0.0,7XX W 57TH AVE,Oakridge,491122.61,5451826.21
Theft of Bicycle,2018,10,15,9.0,30.0,45XX W 8TH AVE,West Point Grey,484761.8,5456996.87
Theft from Vehicle,2018,1,28,21.0,0.0,7XX W 57TH AVE,Oakridge,491122.61,5451826.21
Theft from Vehicle,2018,4,20,22.0,0.0,7XX W 59TH AVE,Marpole,491250.87,5451579.89
Theft from Vehicle,2018,12,2,18.0,0.0,7XX W 60TH AVE,Marpole,490977.5,5451486.64
Break and Enter Residential/Other,2018,12,29,17.0,0.0,68XX KNIGHT ST,Sunset,494355.97,5452187.24
Theft from Vehicle,2018,12,2,22.0,30.0,7XX W 60TH AVE,Marpole,491187.82,5451480.15
Theft from Vehicle,2018,12,30,20.0,0.0,7XX W 60TH AVE,Marpole,491247.66,5451469.15
Break and Enter Residential/Other,2018,5,7,12.0,30.0,68XX KILLARNEY ST,Killarney,496656.01,5452102.97
Theft from Vehicle,2018,6,20,22.0,0.0,7XX W 61ST AVE,Marpole,491191.33,5451379.98
Theft from Vehicle,2018,10,7,20.0,0.0,7XX W 62ND AVE,Marpole,491190.2,5451272.2
Theft of Bicycle,2018,8,3,7.0,29.0,45XX W 12TH AVE,West Point Grey,484613.51,5456602.98
Break and Enter Residential/Other,2018,12,18,21.0,0.0,68XX HUDSON ST,Oakridge,490160.26,5452335.73
